Accuracy             Precision             Recall                  F-measure                   G-mean
0.9772727272727273   0.9393939393939394    0.96875                 0.9538461538461539          0.9539590550898287
0.916030534351145    0.925                 0.8222222222222222      0.8705882352941177          0.8720983634634086
0.9612403100775194   0.9534883720930233    0.9318181818181818      0.942528735632184           0.9425910042369908
0.9302325581395349   0.8636363636363636    0.926829268292683       0.8941176470588236          0.8946750577612211
0.946969696969697    0.9210526315789473    0.8974358974358975      0.9090909090909091          0.9091675835657295
0.946969696969697    0.8958333333333334    0.9555555555555556      0.924731182795699           0.9252126882606607
0.9230769230769231   0.8372093023255814    0.9230769230769231      0.878048780487805           0.8790953229099079
0.9694656488549618   0.9782608695652174    0.9375                  0.9574468085106383          0.9576635971035922
0.9626865671641791   0.9761904761904762    0.9111111111111111      0.9425287356321839          0.943089597767884
0.9699248120300752   0.9574468085106383    0.9574468085106383      0.9574468085106385          0.9574468085106383
0.96875              0.9696969696969697    0.9142857142857143      0.9411764705882354          0.9415838181383995
0.9448818897637795   0.95                  0.8837209302325582      0.9156626506024096          0.916261362123783
0.9389312977099237   0.8809523809523809    0.925                   0.9024390243902439          0.9027075674773932
0.9694656488549618   0.975609756097561     0.9302325581395349      0.9523809523809524          0.9526510164590818
0.9770992366412213   0.9545454545454546    0.9767441860465116      0.9655172413793104          0.965581028730576
0.9769230769230769   0.9736842105263158    0.9487179487179487      0.9610389610389611          0.9611200169123426
0.9548872180451128   0.9523809523809523    0.9090909090909091      0.9302325581395349          0.9304842103984708
0.937984496124031    0.9090909090909091    0.9090909090909091      0.9090909090909091          0.9090909090909091
0.9626865671641791   0.9111111111111111    0.9761904761904762      0.9425287356321839          0.943089597767884
0.9847328244274809   0.9772727272727273    0.9772727272727273      0.9772727272727273          0.9772727272727273
0.968503937007874    0.9534883720930233    0.9534883720930233      0.9534883720930233          0.9534883720930233
0.9615384615384616   0.9393939393939394    0.9117647058823529      0.9253731343283583          0.9254762227411248
0.946969696969697    0.9230769230769231    0.9411764705882353      0.9320388349514563          0.9320827648567408
0.9389312977099237   0.9459459459459459    0.8536585365853658      0.8974358974358975          0.8986182904354194
0.9624060150375939   0.9761904761904762    0.9111111111111111      0.9425287356321839          0.943089597767884
0.9696969696969697   0.95                  0.95                    0.9500000000000001          0.95




















Average

95.64714657123365%   93.8075085577008%     92.70496739750227%      93.18684308390591%          93.22152531129085%
